obstacle_density,radius_setting,test_case_num,source,destination,path_found_yours,path_length_yours,time_yours,nodes_yours,path_found_baseline,path_length_baseline,time_baseline,nodes_baseline,pvi,path_inflation_ratio,ssr
50,standard,13,3501694602,2342125810,True,8088.688529879883,3.4136080741882324,3521,True,7901.157960904627,0.015075922012329102,8336,0.0,1.0237345677561653,57.76151631477927
50,standard,14,1278041265,3491353855,True,10580.67670183076,18.054954051971436,17324,True,10574.38173731274,0.09882187843322754,45394,0.0,1.0005953033164867,61.83636603956471
50,standard,15,3488053123,5524355240,True,4697.6464335121345,0.2181377410888672,247,True,3340.584919288161,0.0009071826934814453,441,0.0,1.4062347005126117,43.99092970521542
50,standard,16,2599227046,2516912122,True,6037.232259257358,7.277009725570679,7252,True,6037.232259257358,0.03633403778076172,19095,3.717097043120184,1.0,62.02147158942131
50,standard,17,10944006998,3074602034,True,7159.954913822352,12.37741732597351,12136,True,7159.954913822352,0.05657219886779785,31359,0.0,1.0,61.299786345227844
50,standard,18,3535737813,1835407915,True,8959.876612659193,13.239300966262817,13031,True,8785.517344479193,0.05964183807373047,33219,0.0,1.019846215236211,60.77244950179115
50,standard,19,1832500331,10113638861,True,6368.89971489041,8.010756731033325,7688,True,6368.89971489041,0.035917043685913086,20265,0.0,1.0,62.06266962743647
50,standard,20,10006667081,3925033990,True,3531.233524084723,3.552215099334717,3520,True,3531.233524084723,0.016319990158081055,9271,0.0,1.0,62.032143242368676
50,standard,21,4515109737,11064139368,True,6929.100747010071,13.536268949508667,13204,True,6662.158053345915,0.055139780044555664,30309,0.0,1.040068502056941,56.43538222970075
50,standard,22,3479147682,7070924830,True,64956.709890455066,29.406497955322266,27930,True,63802.935593736765,0.13182902336120605,72322,2.6223869112006843,1.0180834045640927,61.38104587815603
50,standard,23,2519156446,977632822,True,2898.8331310202348,0.9238498210906982,977,True,2898.8331310202348,0.004133939743041992,2329,0.0,1.0,58.05066552168312
50,standard,24,2857860458,11056068705,True,4577.784409459445,5.4424378871917725,5415,True,4577.784409459445,0.024567127227783203,13538,0.0,1.0,60.001477323090555
50,standard,25,5068744258,11189424498,True,2499.7792933633473,1.8164987564086914,1908,True,2499.7792933633473,0.009083032608032227,5101,0.0,1.0,62.59556949617722
50,standard,26,3498359660,9999912987,True,9695.25087950528,20.6717848777771,19198,True,9348.442354768467,0.08620691299438477,47973,3.310903479226797,1.0370980010974675,59.98165634836262
50,standard,27,11977562724,3498398454,True,1612.6343155927375,0.34331583976745605,365,True,1612.6343155927375,0.0014109611511230469,829,0.0,1.0,55.97104945717732
50,standard,28,3497331305,11782247430,True,8482.52259862475,13.718430042266846,13235,True,8482.52259862475,0.06870508193969727,34823,0.0,1.0,61.993510036470155
50,standard,29,3487075884,3495377502,True,18348.75439460026,21.520962715148926,21110,True,17719.650811959036,0.09285569190979004,52244,11.572373157319516,1.0355031591376869,59.593446137355485
50,standard,30,12772267800,5075056399,True,8671.480125660777,13.737058877944946,13649,True,8671.480125660777,0.06672477722167969,36329,0.36320414830228087,1.0,62.429464064521454
50,standard,31,268310357,3484264519,True,12181.792292378419,20.12953019142151,19613,True,12181.792292378419,0.09169888496398926,50493,1.2454668916153222,1.0,61.156992058305114
50,standard,32,2097604343,9874143977,True,4463.9958043563,1.6331889629364014,1727,True,4463.9958043563,0.0074079036712646484,4266,0.0,1.0,59.517112048757625
50,standard,33,3079800856,10945732686,True,2850.276343831078,1.515674114227295,1651,True,2850.276343831078,0.006834983825683594,3835,0.0,1.0,56.949152542372886
50,standard,34,3500178997,2521404887,True,34606.50144957801,27.92592215538025,27410,True,34231.921061192275,0.13555407524108887,71456,0.0,1.010942429661372,61.64072995969547
50,standard,35,1931989766,3487796010,True,24440.529792188012,26.7257878780365,26032,True,23702.41753786974,0.12240791320800781,67925,6.969637207530427,1.0311408004326554,61.675377254324616
50,standard,36,1278980981,2516860150,True,3265.930931552578,1.6026549339294434,1744,True,3265.930931552578,0.012129068374633789,4242,0.0,1.0,58.88731730315888
50,standard,37,2516880342,3512815583,True,13123.171063259244,509.39527010917664,11123,True,13123.171063259244,0.0554959774017334,28861,0.0,1.0,61.460101867572156
50,standard,38,6354396888,3487058837,True,11296.64516396011,19.718297958374023,19347,True,12334.906235759785,0.08723092079162598,48294,0.0,0.915827404606475,59.9391228724065
50,standard,39,12615277928,12311365439,True,4237.3214108094235,5.157750129699707,5129,True,4237.3214108094235,0.023064136505126953,12751,0.0,1.0,59.775703866363415
50,standard,40,11052131889,3487119302,True,11678.174177617175,20.80178999900818,20426,True,11678.174177617175,0.1041102409362793,54592,0.0,1.0,62.584261430246194
50,standard,41,10779882929,3489575020,True,19938.020517801273,26.724633932113647,24928,True,20248.02707110546,0.11466598510742188,64510,9.587459993242176,0.9846895427285073,61.35792900325531
50,standard,42,1317084931,5053149016,True,8002.133175212717,11.182142972946167,10660,True,8002.133175212717,0.04879879951477051,27748,3.254608381692429,1.0,61.58281677958772
50,standard,43,3482124174,10956817020,False,0,0.0006229877471923828,0,True,15278.397271634209,0.0970618724822998,53339,-1,-1,100.0
50,standard,44,2302338802,10926041122,True,6520.938491139169,6.0440661907196045,5911,True,6520.938491139169,0.027048826217651367,14928,0.0,1.0,60.403269024651664
50,standard,45,4366629260,1278029480,True,1985.3397532844008,0.9330761432647705,963,True,1985.3397532844008,0.003972053527832031,2310,0.0,1.0,58.311688311688314
